zzqo,swlyo,fjmso,kjwho,qtfwo,zzqd,swlyd,fjmsd,kjwhd,qtfwd,wd,fs,js
3,3,29,7,9,3,2,31,1,14,154,20,1
4,2,31,6,16,4,2,20,9,9,150,10,2
4,4,27,2,7,4,3,22,4,8,170,20,2
5,3,41,6,6,5,2,31,8,9,176,30,2
4,2,29,7,10,4,4,38,4,17,190,30,2
6,3,24,6,7,6,5,36,2,8,210,40,2
11,5,58,11,20,11,7,46,19,23,198,40,2
22,7,120,30,55,15,9,100,33,48,210,50,0
13,13,99,30,54,13,16,79,18,44,200,40,0
9,11,85,22,18,9,11,56,7,16,203,30,0
8,10,71,21,25,8,7,55,21,24,190,20,0
9,12,72,23,35,9,9,68,18,31,190,30,0
8,11,42,16,21,8,8,51,14,23,177,20,0
9,10,76,12,25,9,9,75,14,19,180,20,0
8,11,68,21,28,8,7,66,16,25,170,20,0
9,13,64,14,21,9,9,57,15,22,162,20,0
11,15,72,15,29,11,10,76,16,22,160,20,0
15,16,85,24,39,20,11,74,19,36,160,20,0
13,11,62,17,26,22,10,74,16,31,158,30,0
11,10,68,14,29,11,8,65,10,19,150,10,0
8,9,40,9,23,8,7,64,5,25,150,10,0
6,6,46,12,17,6,5,55,8,17,153,30,0
4,5,28,5,14,4,6,33,7,11,160,10,0
3,3,30,4,10,3,3,34,7,15,160,0,0
