data,hour,zzqo,swlyo,fjmso,kjwho,qtfwo,zzqd,swlyd,fjmsd,kjwhfwd,qtfwd,wd,fs,js
2018/3/8,0,1405,319,124,239,310,1450,306,127,236,278,59,30,1
2018/3/8,1,1040,232,70,199,284,1057,223,79,208,258,70,40,0
2018/3/8,2,1164,308,92,226,282,1183,308,83,221,277,70,40,0
2018/3/8,3,1235,280,97,222,290,1214,302,78,229,301,78,30,0
2018/3/8,4,1225,301,120,213,267,1231,277,108,232,278,100,40,0
2018/3/8,5,1030,240,81,199,239,995,247,81,231,235,90,30,0
2018/3/8,6,1977,360,126,380,333,1630,436,221,430,459,94,40,0
2018/3/8,7,3334,648,302,687,650,2574,897,390,797,963,100,40,0
2018/3/8,8,2975,749,330,754,769,2378,1096,359,773,971,100,40,0
2018/3/8,9,2064,544,282,555,599,1942,617,285,544,656,94,30,0
2018/3/8,10,1854,535,224,530,578,1867,548,207,477,622,90,30,0
2018/3/8,11,2122,670,280,674,651,2248,600,283,632,634,80,20,0
2018/3/8,12,2170,676,311,677,615,2282,609,317,616,625,61,30,0
2018/3/8,13,1987,549,262,523,634,1935,604,263,524,629,60,20,0
2018/3/8,14,1870,587,264,514,642,1894,574,258,530,621,60,20,0
2018/3/8,15,1914,587,262,547,603,1971,565,254,554,569,38,10,0
2018/3/8,16,2149,672,287,606,677,2353,537,284,564,653,50,20,0
2018/3/8,17,2560,906,359,765,914,3128,667,313,704,692,30,10,0
2018/3/8,18,2640,764,313,705,729,2976,578,276,665,656,6,10,0
2018/3/8,19,2357,548,238,468,621,2513,497,232,454,536,20,10,0
2018/3/8,20,2216,548,247,421,574,2416,453,213,474,450,20,20,0
2018/3/8,21,1879,495,182,419,514,2054,393,161,412,469,4,10,0
2018/3/8,22,1404,301,120,292,351,1476,306,101,301,284,0,10,0
2018/3/8,23,1631,384,153,322,348,1725,319,145,304,345,0,10,0
2018/3/9,0,1501,344,127,267,294,1514,329,121,272,297,20,10,0
2018/3/9,1,1125,263,94,239,297,1193,249,79,244,253,40,10,0
2018/3/9,2,1370,354,85,251,324,1364,370,82,257,311,50,10,0
2018/3/9,3,1503,317,127,280,304,1477,332,122,275,325,75,30,0
2018/3/9,4,1363,311,118,268,277,1379,295,118,260,285,90,20,0
